1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
7.830028082931454,-13.815510557964274,1.3862946111198593,No,7.105786130301616,Rec,28.5657137316749,150.8901075992895,Unf,7.588323677841552,7.830028082931454,TA,180.7429113437094,4.2341065190900125,-13.815510557964274,-13.815510557964274,1.0986126220013874,1.7917596358947079,201.12277567293538,7.579167967907063,7.588323677841552,12.209187788435303
6.864847779014702,6.42971947965204,1.0986126220013874,No,5.998936564428073,BLQ,15.427248652951699,87.49749370294603,Unf,7.570958583684209,7.363913502039533,Fa,97.41663102879302,4.369447865125249,-13.815510557964274,-13.815510557964274,1.945910291912446,1.7917596358947079,110.71693417809047,7.570958583684209,7.575584652070613,11.79810440721141
6.886531643551961,5.411646056319325,1.0986126220013874,No,5.22035583048373,LwQ,22.891046306361794,117.8511060992038,Unf,7.575584652070613,7.092573716805934,Gd,83.75559683388329,4.2341065190900125,5.081404371195643,-13.815510557964274,1.3862946111198593,1.6094381124340804,101.9046579775373,7.575584652070613,7.575584652070613,11.608235644783644
7.052721050097375,6.763884909717169,1.3862946111198593,No,5.971261842341483,BLQ,27.712812939144232,155.94193513513574,Fin,7.589335823676434,7.611842400074977,TA,100.02499688077975,4.418840619844791,5.700443576735168,4.762173943344765,1.6094381124340804,1.945910291912446,140.05615657288513,7.589335823676434,7.589335823676434,12.165250651015127
6.263398264496385,-13.815510557964274,1.0986126220013874,No,-13.815510557964274,Unf,22.91287849660099,94.23505330080792,Unf,7.586296307660077,6.995766157220602,TA,40.987803076037146,3.0445224853424695,5.942799377751373,-13.815510557964274,1.6094381124340804,1.7917596358947079,83.87577855443021,7.586296307660077,7.586296307660077,11.385092093471707
6.929516771742123,-13.815510557964274,0.6931476805598203,No,5.50938834067656,Unf,17.6068168900571,98.64868876467132,Unf,7.57865685110601,6.929516771742123,TA,84.85281374827827,4.094344578888768,-13.815510557964274,3.401197414995488,1.3862946111198593,1.6094381124340804,129.06765182722657,7.554858521564236,7.603897969020386,11.350406535484218
7.288927695204317,-13.815510557964274,1.0986126220013874,Gd,6.834108739890265,GLQ,23.579652266307914,212.72270056391443,Unf,7.6043963492945945,7.288927695204317,Gd,123.51518125720418,3.8918203185187896,4.430816810748075,5.075173821483827,1.6094381124340804,2.079441666679828,164.21821787948545,7.6043963492945945,7.6043963492945945,12.552926520264625
6.6592939209656885,6.388561407226302,1.0986126220013874,No,-13.815510557964274,Unf,27.928480105440755,165.1985319660164,Unf,7.590346946107871,7.226209010827945,Gd,94.86832981032184,3.912023025428146,-13.815510557964274,5.087596341405224,1.7917596358947079,1.7917596358947079,108.39437332081846,7.568895663923258,7.575584652070613,11.856515169367398
7.787796878595937,7.632885505879394,1.3862946111198593,Av,7.647786045918032,GLQ,17.320508104556286,225.49545611281957,Fin,7.5989004573724115,8.40648506965523,Ex,124.99199974798387,5.075173821483827,-13.815510557964274,4.356708839510104,1.6094381124340804,2.3025851929940404,223.37852905736636,7.5989004573724115,7.5989004573724115,13.52113949736304
6.311734810967796,6.311734810967796,0.6931476805598203,No,5.476463556115611,GLQ,17.66352176096262,149.92221283727966,Unf,7.602900462703757,7.004881990620301,Gd,71.44928271858298,4.2341065190900125,-13.815510557964274,4.094344578888768,1.6094381124340804,1.945910291912446,86.54777855056119,7.602900462703757,7.602900462703757,11.91035840138785
